application_status,license_type,APPLICATION_CLASSIFICATION,APPROVED_LICENSE_TYPE,Approved_License_Stages,lic_status,license_number,business_name,establishment_city,establishment_state,establishment_zipcode,latitude,longitude,business_address_1,business_address_2,business_city,business_state,business_zipcode,geocoded_county,geocoded_address,mailing_address_1,mailing_address_2,mailing_city,mailing_state,mailing_zipcode,EIN_TIN,APPLICATION_NUMBER,ORIGINAL_SUBMITTED_DATE,SUBMITTED_DATE,FIRST_COMPLIANCE_REVIEW_DATE,LIC_FEE_PAYMENT_SUBMITTED_DATE,PRIORITY,FEE_WAIVER_REQUEST,FEE_WAIVER_EE_OR_SE_NUMBER,APPROVED_SOCIAL_EQUITY,EE_PRIORITY_STATUS,EE_PRIORITY_NUMBER_FROM_ACCOUNT,EE_PRIORITY_NUMBER_FROM_APPLICATION,RMD_PRIORITY_STATUS,RMD_PRIORITY_NUMBER_FROM_ACCOUNT,RMD_PRIORITY_NUMBER_FROM_APPLICATION,dbe,cultivation_environment,cultivation_tier,CNB_INITIAL_DATE_OF_REVIEW,CNB_DATE_NOTICE_SENT_TO_MUNICIPALITY,CNB_60_DAY_MUNICIPAL_DEADLINE_DATE,CNB_90_DAY_REVIEW_DEADLINE_DATE,CNB_DATE_BACKGROUND_AUTHORIZATION_SENT,CNB_DATE_BACKGROUND_REPORT_RECEIVED,CNB_FINGER_PRINT_RESULTS_RECEIVED_DATE,CNB_FINAL_APPLICATION_REVIEW,CNB_APPLICATION_RECOMMENDATION,CNB_FINAL_INSPECTION_RESULT,CNB_FINAL_LICENSE_RECOMMENDATION,cnb_dt_of_final_licensure,APPLICATION_CREATED_DATE,CNB_DEEMED_COMPLETE_DATE,APPLICATION_APPROVED_DATE,LIC_START_DATE,LIC_EXPIRATION_DATE,APPLICATION_DENIED_DATE,CCCUpdateDate,ESTABLISHMENT_ADDRESS,ESTABLISHMENT_ADDRESS_2,ESTABLISHMENT_COUNTY,PMT_AMOUNT,LIC_FEE_AMOUNT,ZIP,Town,county,county_lat,county_long,Region,ID
PENDING,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283845,Euphorium LLC,Holyoke,,01040,,,15 Main St,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,15 Main St,,Holyoke,MA,01040,88-2335864,MCN283845,2/24/2023 01:57:03 PM,4/12/2023 11:34:52 AM,2/27/2023 09:31:18 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,2/16/2023 02:16:02 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Third Party Marijuana Transporter,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MT281408,Tree Beard Inc,New Bedford,,02746,,,319a Union St,,New Bedford,MA,02740,POINT (-71.102131 41.778329),,319a Union St,,New Bedford,MA,02740,82-1492577,MTN281408,10/19/2019 03:56:29 PM,10/19/2019 03:56:29 PM,10/22/2019 12:00:00 AM,,True,,,SE303508,APPROVED,EE202151,EE202151,,,,Minority-Owned Business | Woman-Owned Business,,,,,,,,,,,,,,,11/28/2018 11:33:37 AM,,,,,,,,,,,0,02746,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,682
PENDING,Marijuana Courier,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,DO100174,Tradesman Exchange LLC,Mashpee,,02649,,,226 South Main Street,,Fall River,MA,02721,POINT (-70.301811 41.698999),,226 South Main Street,,Fall River,MA,02721,85-2760510,DOA100174,9/2/2022 11:49:20 AM,11/8/2022 05:03:12 PM,9/6/2022 11:23:22 AM,,,,EE202151,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/2/2022 10:54:51 AM,,,,,,,,,,,0,02649,Mashpee,Barnstable,41.698999,-70.301811,Southeast and Cape,636
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284557,"Seven Thirty-two Cottage Street, Inc.",Springfield,,01104,,,732 Cottage Street,,Springfield,MA,01104,POINT (-72.571312 42.12756),,732 Cottage Street,,Springfield,MA,01104,12-1234567,MRN284557,9/28/2022 01:31:45 PM,10/14/2022 01:20:38 PM,11/18/2022 04:09:06 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/10/2022 02:33:24 PM,,,,,,,,,,,0,01104,Springfield,Hampden,42.12756,-72.571312,Western MA,74
REOPENED,Marijuana Research Facility,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,RE281313,"PerkinElmer, Inc.",Hopkinton,,01748,,,68 Elm Street,,Hopkinton,MA,01748,POINT (-71.275566 42.459085),,940 Winter Street,,Waltham,MA,02451,04-2052042,REN281313,12/7/2020 01:16:00 PM,12/7/2020 01:16:00 PM,9/14/2021 12:42:14 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/13/2019 10:36:37 AM,,,,,,,,,,,0,01748,Hopkinton,Middlesex,42.459085,-71.275566,Central MA,279
PENDING,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC283783,"Eudaimonia Health, LLC",Clinton,MA,01510,42.409983,-71.679317,20 Cameron Street,,Clinton,MA,01510,POINT (-71.840209 42.329642),POINT (-71.679316 42.4099829),60 Schoolmasters Lane,,Dedham,MA,02026,88-1610302,MCN283783,10/21/2022 09:10:21 PM,2/15/2023 05:11:13 PM,10/31/2022 09:43:14 AM,,,no,,,,,,,,,Veteran-Owned Business,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,9/8/2022 04:12:39 PM,2/24/2023 10:28:41 AM,,,,,4/24/2023,20 Cameron St,N/A,Worcester County,,0,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,198
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282249,Canna-Farm LLC,Attleboro,MA,02703,41.897463,-71.380157,1 Turner Street,2nd Floor,Attleboro,MA,02703,POINT (-71.102131 41.778329),POINT (-71.380156 41.8974630),1 Turner Street,2nd Floor,Attleboro,MA,02703,92-0697949,MPN282249,12/14/2022 12:10:04 AM,2/27/2023 09:59:18 AM,12/14/2022 09:01:45 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/8/2022 01:02:43 PM,3/3/2023 09:18:24 AM,,,,,4/24/2023,1 Turner St,2nd Floor,Bristol County,,0,02703,Attleboro,Bristol,41.778329,-71.102131,Southeast and Cape,659
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281811,Emerald River LLC,Holyoke,,01040,,,127 Saint Kolbe Dr,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,127 Saint Kolbe Dr,,Holyoke,MA,01040,84-2206309,MPN281811,12/17/2019 02:07:01 AM,12/17/2019 02:07:01 AM,3/20/2020 12:00:00 AM,,,,,SE304495,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/10/2019 02:40:43 AM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Third Party Marijuana Transporter,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MT281336,"Stalk & Beans, Inc.",Fitchburg,,01420,,,5 Appleton Road,,Natick,MA,01760,POINT (-71.840209 42.329642),,5 Appleton Road,,Natick,MA,01760,82-5483122,MTN281336,3/20/2019 03:52:38 PM,3/21/2019 02:51:26 PM,10/18/2019 12:00:00 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/18/2018 01:42:46 PM,,,,,,,,,,,0,01420,Fitchburg,Worcester,42.329642,-71.840209,Central MA,163
REOPENED,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC283469,Kraft King Ltd.,Holyoke,,01040,,,620 Beaulieu Street,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,620 Beaulieu Street,,Holyoke,MA,01040,86-2536644,MCN283469,6/27/2021 09:04:46 PM,6/27/2021 09:04:46 PM,7/27/2021 02:57:01 PM,,,no,,,,,,,,,Minority-Owned Business,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,4/6/2021 01:03:00 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
REOPENED,Marijuana Courier Pre-Certification,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103155,D.A.R.E. to Deliver LLC,N/A,,N/A,,,123 main st,,Rosilindale,MA,02131,,,55 Augustus Ave.,,Roslindale,MA,02131,12-1234567,PDOA103155,7/8/2020 02:03:53 PM,7/8/2020 02:03:53 PM,7/13/2020 09:44:32 AM,,True,,EE202127,,APPROVED,EE202127,,INCOMPLETE,RP201964,,Minority-Owned Business,,,,,,,,,,,,,,,7/8/2020 01:35:27 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC282483,Galil Greenery,Northampton,,01060,,,235 Main St.,,Northampton,MA,01060,POINT (-72.62073 42.322256),,69B Day Ave,,Northampton,MA,01060,83-2070659,MCN282483,11/22/2019 02:37:23 PM,11/22/2019 02:37:23 PM,3/6/2020 12:00:00 AM,,,,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,11/8/2019 01:31:25 PM,,,,,,,,,,,0,01060,Northampton,Hampshire,42.322256,-72.62073,Western MA,39
PENDING,Marijuana Retailer,Priority Review - MTC Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MR284457,Alternative Compassion Services Inc,Bridgewater,,02324,,,693 Elm Street,,Bridgewater,MA,02324,POINT (-70.818958 41.978877),,693 Elm Street,,Bridgewater,MA,02324,46-2655758,MRN284457,4/12/2023 09:46:32 AM,4/12/2023 09:46:32 AM,,,True,no,,,,,,APPROVED,RP201839,RPA201839,Not a DBE,,,,,,,,,,,,,,,10/18/2021 09:05:57 PM,,,,,,,,,,,0,02324,Bridgewater,Plymouth,41.978877,-70.818958,Southeast and Cape,512
REOPENED,Marijuana Cultivator,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MC282363,Spirtas Global LLC,Lee,,01238,,,701 Greylock Street,,Lee,MA,01238,POINT (-73.209889 42.396128),,870 Holmes Road,,Pittsfield,MA,01201,13-4293435,MCN282363,11/2/2019 05:26:43 PM,1/13/2020 06:45:28 PM,1/14/2020 12:00:00 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 05: 30,001 to 40,000 sq. ft",,,,,,,,,,,,,8/27/2019 03:22:10 PM,,,,,,,,,,,0,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,110
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284806,"Hoop City Ventures, LLC",Monson,,01057,,,399 Boston Road West,,Monson,MA,01057,POINT (-72.571312 42.12756),,99 SOUTH MAIN STREET,,FALL RIVER,MA,02721,86-1708812,MRN284806,3/23/2023 04:28:02 PM,3/23/2023 04:28:02 PM,4/4/2023 01:03:08 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,11/3/2022 04:24:47 PM,,,,,,,,,,,0,01057,Monson,Hampden,42.12756,-72.571312,Western MA,37
REOPENED,Craft Marijuana Cooperative,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,CO281386,CANMAN,N/A,,N/A,,,17 cedar st,,milford,MA,01757,,,17 cedar st,,milford,MA,01757,83-2614784,CON281386,12/23/2018 04:08:18 PM,1/17/2019 06:34:41 AM,8/13/2019 12:00:00 AM,,,,,,,,,,,,Disability-Owned Business,Outdoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,11/21/2018 08:44:32 AM,,,,,,,,,,,0,,,,,,,
PENDING,Marijuana Microbusiness,Expedited Review - Two or More,IN PROCESS,IN PROCESS,INCOMPLETE,MB281635,Royal Highness,Southbridge,,01550,,,341 Main St,,Southbridge,MA,01550,POINT (-71.840209 42.329642),,30 Golf st,,Southbridge,MA,01550,83-3604408,MBN281635,6/1/2021 10:29:18 PM,2/13/2023 10:29:09 AM,6/16/2021 12:19:30 PM,,,yes,SE303693,SE303693,,,,,,,Minority-Owned Business | Woman-Owned Business | Not a DBE,,,,,,,,,,,,,,,7/17/2019 06:04:42 AM,,,,,,,,,,,0,01550,Southbridge,Worcester,42.329642,-71.840209,Central MA,226
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC282165,Riverside Organics,Amherst,,01002,,,555 Belchertown Rd,,Amherst,MA,01002,POINT (-72.62073 42.322256),,555 Belchertown Rd,,Amherst,MA,01002,83-2570367,MCN282165,12/27/2019 06:35:27 PM,3/14/2020 04:14:12 PM,4/1/2020 12:00:00 AM,,,,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,5/22/2019 06:38:37 PM,,,,,,,,,,,0,01002,Amherst,Hampshire,42.322256,-72.62073,Western MA,2
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282074,"Elevated Access Center, Inc.",Norwell,MA,02061,42.165013,-70.88276,400 Cordwainer Drive,Lot #9,Norwell,MA,02061,POINT (-70.818958 41.978877),POINT (-70.882760 42.1650130),175 Derby Street,Suite 12,Hingham,MA,02043,81-3276862,MPN282074,10/9/2021 08:13:17 PM,2/10/2023 06:17:08 PM,10/22/2021 12:19:28 PM,,,no,,,,,,INCOMPLETE,RP201873,,Not a DBE,,,,,,,,,,,,,,,5/18/2021 11:22:35 PM,2/24/2023 10:27:04 AM,,,,,4/24/2023,400 Cordwainer Dr,Lot #9,Plymouth County,,0,02061,Norwell,Plymouth,41.978877,-70.818958,Southeast and Cape,408
PENDING,Marijuana Product Manufacturer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MP282212,"FitzCanna, Inc",Clinton,MA,01510,42.412954,-71.679018,75 Green Street,,Clinton,MA,01510,POINT (-71.840209 42.329642),POINT (-71.679017 42.4129539),60 Bolton Station Road,,Lancaster,MA,01523,87-1573192,MPN282212,11/23/2022 01:42:55 PM,1/31/2023 11:02:32 AM,12/7/2022 03:57:47 PM,,,no,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,6/17/2022 01:41:55 PM,2/3/2023 09:05:51 AM,,,,,4/24/2023,75 Green St,N/A,Worcester County,,0,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,198
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281817,"Green Envy MA, LLC",Middleborough,,02346,,,Charlotte Court,Lot 2a,Middleborough,MA,02346,POINT (-70.818958 41.978877),,74 Thaxter St,,Hingham,MA,02043,82-2986906,MPN281817,12/1/2020 02:08:35 PM,12/1/2020 02:08:35 PM,12/9/2020 09:48:27 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,12/17/2019 02:01:29 PM,,,,,,,,,,,0,02346,Middleboro,Plymouth,41.978877,-70.818958,,528
REOPENED,Marijuana Retailer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284875,Build A Life Legacy LLC,Boston,,02126,,,536-538 River St,,MATTAPAN,MA,02126,POINT (-71.073493 42.334948),,"28 Church St, Ste 14 #1260",,Winchester,MA,01890,85-4131840,MRN284875,3/20/2023 06:23:53 PM,3/20/2023 06:23:53 PM,3/21/2023 09:34:07 AM,,,yes,SE305504,SE305504,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/13/2023 03:44:13 PM,,,,,,,,,,,0,02126,Mattapan,Suffolk,42.334948,-71.073493,,437
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP281670,"XH Management, Inc",Leominster,MA,01453,42.286807,-71.578652,200 Highland Avenue,Suite 304,Needham,MA,02494,POINT (-71.840209 42.329642),POINT (-71.578652 42.2868070),PO BOX 961799,,BOSTON,MA,02196,83-2351429,MPN281670,9/19/2019 05:23:07 PM,3/27/2023 02:38:27 PM,2/18/2020 12:00:00 AM,,,,,,,,,,,,Woman-Owned Business,,,,,,,,,,,,,,,5/15/2019 02:41:24 PM,3/31/2023 11:33:24 AM,,,,,4/24/2023,25 Research Dr,N/A,Worcester County,,0,01453,Leominster,Worcester,42.329642,-71.840209,Central MA,175
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283782,"East Coast Connection, LLC",Middleborough,,02346,,,112 Harrow Rd,,Springfield,MA,01118,POINT (-70.818958 41.978877),,112 Harrow Road,,Springfield,MA,01118,92-1132826,MCN283782,3/22/2023 07:23:45 PM,4/5/2023 02:56:00 PM,3/23/2023 09:48:44 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 01: up to 5,000 square feet",,,,,,,,,,,,,9/8/2022 11:53:29 AM,,,,,,,,,,,0,02346,Middleboro,Plymouth,41.978877,-70.818958,,528
REOPENED,Marijuana Product Manufacturer,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282011,Richter Extracts INC,Westfield,,01085,,,69 neck rd,,Westfield,MA,01085,POINT (-72.571312 42.12756),,69 neck rd,,Westfield,MA,01085,01-2705437,MPN282011,2/2/2022 11:00:48 PM,2/2/2022 11:00:48 PM,2/11/2022 10:07:35 AM,,,yes,SE304515,SE304515,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/10/2021 11:35:24 PM,,,,,,,,,,,0,01085,Westfield,Hampden,42.12756,-72.571312,Western MA,59
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284765,ELEVATION RETAIL LLC,New Bedford,MA,02740,41.707833,-70.946893,0 PHILLIPS RD.,,NEW BEDFORD,MA,02740,POINT (-71.102131 41.778329),POINT (-70.946893 41.7078330),385 GREAT RD.,,BEDFORD,MA,01730,85-3896315,MRN284765,10/4/2022 08:11:24 AM,2/9/2023 01:00:10 PM,11/28/2022 11:55:28 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,9/20/2022 01:37:25 PM,2/10/2023 09:35:07 AM,,,,,4/24/2023,,N/A,Bristol County,,0,02740,New Bedford,Bristol,41.778329,-71.102131,Southeast and Cape,676
REOPENED,Marijuana Microbusiness,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MB281904,Two J's Farm,Russell,,01071,,,2 Lee Rd,,Ware,MA,01082,POINT (-72.571312 42.12756),,20 Flicker Dr,,Middle Island,NY,11953,85-1046335,MBN281904,6/4/2021 10:07:23 AM,6/4/2021 10:07:23 AM,6/8/2021 03:11:04 PM,,,no,,,,,,,,,Woman-Owned Business | Minority-Owned Business,,,,,,,,,,,,,,,5/14/2020 01:09:52 PM,,,,,,,,,,,0,01071,Russell,Hampden,42.12756,-72.571312,Western MA,47
REOPENED,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282038,"Ironstone Express, Inc.",Uxbridge,,01569,,,454 Quaker Highway,,Uxbridge,MA,01569,POINT (-71.840209 42.329642),,P.O. Box 414,,Uxbridge,MA,01569,83-4174397,MPN282038,4/26/2021 03:09:37 PM,4/26/2021 03:09:37 PM,5/11/2021 04:28:31 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/21/2021 11:15:07 PM,,,,,,,,,,,0,01569,Uxbridge,Worcester,42.329642,-71.840209,Central MA,233
PENDING,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284560,Euphorium LLC,Holyoke,,01040,,,15 Main St,,Holyoke,MA,01040,POINT (-72.571312 42.12756),,15 Main St,,Holyoke,MA,01040,88-2335864,MRN284560,2/16/2023 04:38:08 PM,4/12/2023 11:28:16 AM,2/27/2023 09:30:32 AM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,1/12/2022 12:04:51 PM,,,,,,,,,,,0,01040,Holyoke,Hampden,42.12756,-72.571312,Western MA,31
PENDING,Marijuana Product Manufacturer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MP282036,"Elevated, Inc.",Clinton,MA,01510,42.420705,-71.689258,223 MEADOW NECK ROAD,,Falmouth,MA,02536,POINT (-71.840209 42.329642),POINT (-71.689257 42.4207049),223 MEADOW NECK ROAD,,Falmouth,MA,02536,85-2144857,MPN282036,1/13/2023 09:51:03 AM,3/3/2023 04:32:10 PM,1/24/2023 04:16:08 PM,,,no,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,2/20/2021 06:06:08 PM,3/10/2023 11:30:10 AM,,,,,4/24/2023,56 Sterling St,N/A,Worcester County,,0,01510,Clinton,Worcester,42.329642,-71.840209,Central MA,198
PENDING,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283815,Southwick Greenhouses Inc.,Southwick,,01077,,,27 Hudson Drive,,Southwick,MA,01077,POINT (-72.571312 42.12756),,27 Hudson Drive,,Southwick,MA,01077,88-3412682,MCN283815,1/24/2023 09:28:16 PM,4/20/2023 03:08:46 PM,1/30/2023 09:01:45 AM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 03: 10,001 to 20,000 sq. ft",,,,,,,,,,,,,11/21/2022 11:49:17 AM,,,,,,,,,,,0,01077,Southwick,Hampden,42.12756,-72.571312,Western MA,52
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC283768,Fibonacci Farms LLC,Greenfield,,01301,,,82 Wendell Ave.,Suite 100,Pittsfield,MA,01201,POINT (-72.573941 42.587072),,446 Country Club Road,Suite B,Greenfield,MA,01301,88-2996689,MCN283768,8/2/2022 11:34:06 AM,11/7/2022 04:08:55 PM,8/19/2022 10:57:09 AM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 11: 90,001 to 100,000 sq. ft",,,,,,,,,,,,,7/25/2022 10:26:43 PM,,,,,,,,,,,0,01301,Greenfield,Franklin,42.587072,-72.573941,Western MA,132
REOPENED,Marijuana Product Manufacturer,Expedited Review - DBE Status,IN PROCESS,IN PROCESS,INCOMPLETE,MP281743,EOS CULTIVATION LLC,Pittsfield,,01201,,,68 DALTON AVENUE,,PITTSFIELD,MA,01201,POINT (-73.209889 42.396128),,68 DALTON AVENUE,,PITTSFIELD,MA,01201,84-2100379,MPN281743,8/14/2019 02:08:28 PM,12/7/2019 11:22:43 AM,1/13/2020 12:00:00 AM,,,,,,,,,,,,Minority-Owned Business,,,,,,,,,,,,,,,8/14/2019 10:02:43 AM,,,,,,,,,,,0,01201,Pittsfield,Berkshire,42.396128,-73.209889,Western MA,95
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC283028,Spirtas Global LLC,Lee,,01238,,,715 Columbia Street,,Lee,MA,01238,POINT (-73.209889 42.396128),,870 Holmes Road,,PITTSFIELD,MA,01201,13-4293435,MCN283028,2/28/2021 11:49:14 PM,2/28/2021 11:49:14 PM,3/22/2021 01:30:13 PM,,,no,,,,,,,,,Not a DBE,Indoor,"Tier 09: 70,001 to 80,000 sq. ft",,,,,,,,,,,,,8/28/2020 02:49:34 PM,,,,,,,,,,,0,01238,Lee,Berkshire,42.396128,-73.209889,Western MA,110
REOPENED,Marijuana Courier Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PDO103502,"Injaga Holdings, LLC",N/A,,N/A,,,1102 Blue Hill Ave,,Dorchester,MA,02124,,,23 Alpine Street,,Boston,MA,02119,85-3684937,PDOA103502,6/24/2021 04:28:56 PM,1/10/2023 07:55:56 AM,7/22/2021 10:05:22 AM,,,,SE303542,SE303542,,,,,,,Not a DBE,,,,,,,,,,,,,,,5/10/2021 12:02:10 PM,,,,,,,,,,,0,,,,,,,
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR281257,Hooligans Enterprises LLC,Gloucester,,01930,,,4 Woodholm Rd,,Manchester-By-The-Sea,MA,01944,POINT (-70.970827 42.635475),,4 Woodholm Rd,,Manchester-By-The-Sea,MA,01944,82-5278068,MRN281257,9/2/2018 11:59:06 PM,9/2/2018 11:59:06 PM,10/25/2018 12:00:00 AM,,,,,,,,,,,,Not a DBE,,,,,,,,,,,,,,,4/17/2018 02:39:07 PM,,,,,,,,,,,0,01930,Gloucester,Essex,42.635475,-70.970827,Northeast,357
REOPENED,Marijuana Cultivator,Expedited Review - License Type,IN PROCESS,IN PROCESS,INCOMPLETE,MC283483,3 Quabbin Orange LLC,Orange,,01364,,,74 Grafton Street,,Worcester,MA,01604,POINT (-72.573941 42.587072),,74 Grafton Street,,Worcester,MA,01604,86-3362025,MCN283483,6/4/2021 03:24:28 PM,7/14/2021 02:22:51 PM,6/9/2021 11:40:51 AM,,,no,,,,,,,,,Not a DBE,Outdoor,"Tier 06: 40,001 to 50,000 sq. ft",,,,,,,,,,,,,4/19/2021 05:09:28 PM,,,,,,,,,,,0,01364,Orange,Franklin,42.587072,-72.573941,Western MA,152
REOPENED,Marijuana Cultivator,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MC281768,"GD MA Holdings, LLC",Gardner,,01440,,,5499 N Federal Hwy,Suite I,Boca Raton,FL,33487,POINT (-71.840209 42.329642),,5499 N Federal Hwy,Suite I,Boca Raton,FL,33487,83-2321945,MCN281768,2/12/2019 02:01:11 PM,1/24/2020 07:27:44 PM,9/12/2019 12:00:00 AM,,,,,,,,,,,,Not a DBE,Indoor,"Tier 07: 50,001 to 60,000 sq. ft",,,,,,,,,,,,,10/23/2018 05:44:48 PM,,,,,,,,,,,0,01440,Gardner,Worcester,42.329642,-71.840209,Central MA,170
REOPENED,Marijuana Retailer,General Applicant,IN PROCESS,IN PROCESS,INCOMPLETE,MR284072,MassMedicum Corp.,Malden,,02148,,,1 Mear Road,,Holbrook,MA,02343,POINT (-71.275566 42.459085),,1 Mear Road,,Holbrook,MA,02343,46-3326624,MRN284072,2/28/2023 03:44:12 PM,2/28/2023 03:44:12 PM,3/1/2023 09:50:42 AM,,True,no,,,,,,APPROVED,RP201935,RP201935,Not a DBE,,,,,,,,,,,,,,,2/5/2021 05:20:56 PM,,,,,,,,,,,0,02148,Malden,Middlesex,42.459085,-71.275566,Northeast,457
REOPENED,Marijuana Cultivator,Priority Review - Economic Empowerment Priority,IN PROCESS,IN PROCESS,INCOMPLETE,MC281282,Commonwealth Rehabilitation,Randolph,,02368,,,4 Cabot place,ste 1,Stoughton,MA,02072,POINT (-71.15444 42.199156),,P.O. BOX 248,,RANDOLPH,MA,02368,47-4862355,MCN281282,5/16/2018 07:43:52 AM,5/16/2018 07:43:52 AM,5/10/2018 12:00:00 AM,,True,,,,APPROVED,EE202423,,,,,Not a DBE,Indoor,"Tier 02: 5,001 to 10,000 sq. ft.",,,,,,,,,,,,,4/21/2018 04:46:54 PM,,,,,,,,,,,0,02368,Randolph,Norfolk,42.199156,-71.15444,Metro Boston,545
REOPENED,Marijuana Delivery Operator Pre-Certification,Expedited Review - Social Equity Participant,IN PROCESS,IN PROCESS,INCOMPLETE,PMD6000,Coastal Roots LLC,N/A,,N/A,,,112 Winter Street,,Hanson,MA,02341,,,112 winter st,,Hanson,MA,02341,85-1767963,PMDA6000,2/27/2023 01:38:11 PM,4/19/2023 04:46:55 PM,3/6/2023 09:14:20 AM,,,,SE305010,SE305010,,,,,,,Not a DBE,,,,,,,,,,,,,,,3/18/2022 02:39:29 PM,,,,,,,,,,,0,,,,,,,
